Award,Winner,Film
Actor in a Leading Role,,Hustle & Flow
Actor in a Leading Role,,Brokeback Mountain
Actor in a Leading Role,,Walk the Line
Actor in a Leading Role,,"Good Night, and Good Luck."
Actor in a Supporting Role,,Crash
Actor in a Supporting Role,,Cinderella Man
Actor in a Supporting Role,,Brokeback Mountain
Actor in a Supporting Role,,A History of Violence
Actress in a Leading Role,,Mrs. Henderson Presents
Actress in a Leading Role,,Transamerica
Actress in a Leading Role,,Pride & Prejudice
Actress in a Leading Role,,North Country
Actress in a Supporting Role,,Junebug
Actress in a Supporting Role,,Capote
Actress in a Supporting Role,,North Country
Actress in a Supporting Role,,Brokeback Mountain
Animated Feature Film,,Hayao Miyazaki
Animated Feature Film,,Mike Johnson and Tim Burton
Art Direction,,Art Direction: Jim Bissell; Set Decoration: Jan Pascale
Art Direction,,Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan
Art Direction,,Art Direction: Grant Major; Set Decoration: Dan Hennah and Simon Bright
Art Direction,,Art Direction: Sarah Greenwood; Set Decoration: Katie Spencer
Cinematography,,Wally Pfister
Cinematography,,Rodrigo Prieto
Cinematography,,Robert Elswit
Cinematography,,Emmanuel Lubezki
Costume Design,,Gabriella Pescucci
Costume Design,,Sandy Powell
Costume Design,,Jacqueline Durran
Costume Design,,Arianne Phillips
Directing,,Bennett Miller
Directing,,Paul Haggis
Directing,,George Clooney
Directing,,Steven Spielberg
Documentary (Feature),,Hubert Sauper
Documentary (Feature),,Alex Gibney and Jason Kliot
Documentary (Feature),,Henry-Alex Rubin and Dana Adam Shapiro
Documentary (Feature),,Marshall Curry
Documentary (Short Subject),,Dan Krauss
Documentary (Short Subject),,Kimberlee Acquaro and Stacy Sherman
Documentary (Short Subject),,Steven Okazaki
Film Editing,,Mike Hill and Dan Hanley
Film Editing,,Claire Simpson
Film Editing,,Michael Kahn
Film Editing,,Michael McCusker
Foreign Language Film,,Italy
Foreign Language Film,,France
Foreign Language Film,,The Palestinian Territories
Foreign Language Film,,Germany
Makeup,,David Leroy Anderson and Lance Anderson
Makeup,,Dave Elsey and Nikki Gooley
Music (Original Score),,Alberto Iglesias
Music (Original Score),,John Williams
Music (Original Score),,John Williams
Music (Original Score),,Dario Marianelli
Music (Original Song),,Music by Kathleen Bird York and Michael Becker; Lyric by Kathleen Bird York
Music (Original Song),,Music and Lyric by Dolly Parton
Best Picture,,"Diana Ossana and James Schamus, Producers"
Best Picture,,"Caroline Baron, William Vince and Michael Ohoven, Producers"
Best Picture,,"Grant Heslov, Producer"
Best Picture,,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers"
Short Film (Animated),,Sharon Colman
Short Film (Animated),,Anthony Lucas
Short Film (Animated),,Shane Acker
Short Film (Animated),,Andrew Jimenez and Mark Andrews
Short Film (Live Action),,Ulrike Grote
Short Film (Live Action),,Sean Ellis and Lene Bausager
Short Film (Live Action),,Rúnar Rúnarsson and Thor S. Sigurjónsson
Short Film (Live Action),,Rob Pearlstein and Pia Clemente
Sound Editing,,Wylie Stateman
Sound Editing,,Richard King
Sound Mixing,,"Terry Porter, Dean A. Zupancic and Tony Johnson"
Sound Mixing,,"Kevin O'Connell, Greg P. Russell, Rick Kline and John Pritchett"
Sound Mixing,,"Paul Massey, D.M. Hemphill and Peter F. Kurland"
Sound Mixing,,"Andy Nelson, Anna Behlmer and Ronald Judkins"
Visual Effects,,"Dean Wright, Bill Westenhofer, Jim Berney and Scott Farrar"
Visual Effects,,"Dennis Muren, Pablo Helman, Randal M. Dutra and Daniel Sudick"
Writing (Adapted Screenplay),,Screenplay by Dan Futterman
Writing (Adapted Screenplay),,Screenplay by Jeffrey Caine
Writing (Adapted Screenplay),,Screenplay by Josh Olson
Writing (Adapted Screenplay),,Screenplay by Tony Kushner and Eric Roth
Writing (Original Screenplay),,Screenplay by George Clooney & Grant Heslov
Writing (Original Screenplay),,Written by Woody Allen
Writing (Original Screenplay),,Written by Noah Baumbach
Writing (Original Screenplay),,Written by Stephen Gaghan
Actor in a Leading Role,,Blood Diamond
Actor in a Leading Role,,Half Nelson
Actor in a Leading Role,,Venus
Actor in a Leading Role,,The Pursuit of Happyness
Actor in a Supporting Role,,Little Children
Actor in a Supporting Role,,Blood Diamond
Actor in a Supporting Role,,Dreamgirls
Actor in a Supporting Role,,The Departed
Actress in a Leading Role,,Volver
Actress in a Leading Role,,Notes on a Scandal
Actress in a Leading Role,,The Devil Wears Prada
Actress in a Leading Role,,Little Children
Actress in a Supporting Role,,Babel
Actress in a Supporting Role,,Notes on a Scandal
