Award,Winner,Film
Actor in a Leading Role,1.0,Capote
Actor in a Leading Role,,Hustle & Flow
Actor in a Leading Role,,Brokeback Mountain
Actor in a Leading Role,,Walk the Line
Actor in a Leading Role,,"Good Night, and Good Luck."
Actor in a Supporting Role,1.0,Syriana
Actor in a Supporting Role,,Crash
Actor in a Supporting Role,,Cinderella Man
Actor in a Supporting Role,,Brokeback Mountain
Actor in a Supporting Role,,A History of Violence
Actress in a Leading Role,,Mrs. Henderson Presents
Actress in a Leading Role,,Transamerica
Actress in a Leading Role,,Pride & Prejudice
Actress in a Leading Role,,North Country
Actress in a Leading Role,1.0,Walk the Line
Actress in a Supporting Role,,Junebug
Actress in a Supporting Role,,Capote
Actress in a Supporting Role,,North Country
Actress in a Supporting Role,1.0,The Constant Gardener
Actress in a Supporting Role,,Brokeback Mountain
Animated Feature Film,,Hayao Miyazaki
Animated Feature Film,,Mike Johnson and Tim Burton
Animated Feature Film,1.0,Nick Park and Steve Box
Art Direction,,Art Direction: Jim Bissell; Set Decoration: Jan Pascale
Art Direction,,Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan
Art Direction,,Art Direction: Grant Major; Set Decoration: Dan Hennah and Simon Bright
Art Direction,1.0,Art Direction: John Myhre; Set Decoration: Gretchen Rau
Art Direction,,Art Direction: Sarah Greenwood; Set Decoration: Katie Spencer
Cinematography,,Wally Pfister
Cinematography,,Rodrigo Prieto
Cinematography,,Robert Elswit
Cinematography,1.0,Dion Beebe
Cinematography,,Emmanuel Lubezki
Costume Design,,Gabriella Pescucci
Costume Design,1.0,Colleen Atwood
Costume Design,,Sandy Powell
Costume Design,,Jacqueline Durran
Costume Design,,Arianne Phillips
Directing,1.0,Ang Lee
Directing,,Bennett Miller
Directing,,Paul Haggis
Directing,,George Clooney
Directing,,Steven Spielberg
Documentary (Feature),,Hubert Sauper
Documentary (Feature),,Alex Gibney and Jason Kliot
Documentary (Feature),1.0,Luc Jacquet and Yves Darondeau
Documentary (Feature),,Henry-Alex Rubin and Dana Adam Shapiro
Documentary (Feature),,Marshall Curry
Documentary (Short Subject),,Dan Krauss
Documentary (Short Subject),,Kimberlee Acquaro and Stacy Sherman
Documentary (Short Subject),,Steven Okazaki
Documentary (Short Subject),1.0,Corinne Marrinan and Eric Simonson
Film Editing,,Mike Hill and Dan Hanley
Film Editing,,Claire Simpson
Film Editing,1.0,Hughes Winborne
Film Editing,,Michael Kahn
Film Editing,,Michael McCusker
Foreign Language Film,,Italy
Foreign Language Film,,France
Foreign Language Film,,The Palestinian Territories
Foreign Language Film,,Germany
Foreign Language Film,1.0,South Africa
Makeup,1.0,Howard Berger and Tami Lane
Makeup,,David Leroy Anderson and Lance Anderson
Makeup,,Dave Elsey and Nikki Gooley
Music (Original Score),1.0,Gustavo Santaolalla
Music (Original Score),,Alberto Iglesias
Music (Original Score),,John Williams
Music (Original Score),,John Williams
Music (Original Score),,Dario Marianelli
Music (Original Song),,Music by Kathleen Bird York and Michael Becker; Lyric by Kathleen Bird York
Music (Original Song),1.0,"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard"
Music (Original Song),,Music and Lyric by Dolly Parton
Best Picture,,"Diana Ossana and James Schamus, Producers"
Best Picture,,"Caroline Baron, William Vince and Michael Ohoven, Producers"
Best Picture,1.0,"Paul Haggis and Cathy Schulman, Producers"
Best Picture,,"Grant Heslov, Producer"
Best Picture,,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers"
Short Film (Animated),,Sharon Colman
Short Film (Animated),1.0,John Canemaker and Peggy Stern
Short Film (Animated),,Anthony Lucas
Short Film (Animated),,Shane Acker
