Award,Winner,Film
Actor in a Leading Role,1.0,Capote
Actor in a Supporting Role,1.0,Syriana
Actress in a Leading Role,1.0,Walk the Line
Actress in a Supporting Role,1.0,The Constant Gardener
Animated Feature Film,1.0,Nick Park and Steve Box
Art Direction,1.0,Art Direction: John Myhre; Set Decoration: Gretchen Rau
Cinematography,1.0,Dion Beebe
Costume Design,1.0,Colleen Atwood
Directing,1.0,Ang Lee
Documentary (Feature),1.0,Luc Jacquet and Yves Darondeau
Documentary (Short Subject),1.0,Corinne Marrinan and Eric Simonson
Film Editing,1.0,Hughes Winborne
Foreign Language Film,1.0,South Africa
Makeup,1.0,Howard Berger and Tami Lane
Music (Original Score),1.0,Gustavo Santaolalla
Music (Original Song),1.0,"Music and Lyric by Jordan Houston, Cedric Coleman and Paul Beauregard"
Best Picture,1.0,"Paul Haggis and Cathy Schulman, Producers"
Short Film (Animated),1.0,John Canemaker and Peggy Stern
Short Film (Live Action),1.0,Martin McDonagh
Sound Editing,1.0,Mike Hopkins and Ethan Van der Ryn
Sound Mixing,1.0,"Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek"
Visual Effects,1.0,"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor"
Writing (Adapted Screenplay),1.0,Screenplay by Larry McMurtry & Diana Ossana
Writing (Original Screenplay),1.0,Screenplay by Paul Haggis & Bobby Moresco; Story by Paul Haggis
Honorary Award,1.0,
Gordon E. Sawyer Award,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,The Last King of Scotland
Actor in a Supporting Role,1.0,Little Miss Sunshine
Actress in a Leading Role,1.0,The Queen
Actress in a Supporting Role,1.0,Dreamgirls
Animated Feature Film,1.0,George Miller
Art Direction,1.0,Art Direction: Eugenio Caballero; Set Decoration: Pilar Revuelta
Cinematography,1.0,Guillermo Navarro
Costume Design,1.0,Milena Canonero
Directing,1.0,Martin Scorsese
Documentary (Feature),1.0,Davis Guggenheim
Documentary (Short Subject),1.0,Ruby Yang and Thomas Lennon
Film Editing,1.0,Thelma Schoonmaker
Foreign Language Film,1.0,Germany
Makeup,1.0,David Martí and Montse Ribé
Music (Original Score),1.0,Gustavo Santaolalla
Music (Original Song),1.0,Music and Lyric by Melissa Etheridge
Best Picture,1.0,"Graham King, Producer"
Short Film (Animated),1.0,Torill Kove
Short Film (Live Action),1.0,Ari Sandel
Sound Editing,1.0,Alan Robert Murray and Bub Asman
Sound Mixing,1.0,"Michael Minkler, Bob Beemer and Willie Burton"
Visual Effects,1.0,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall"
Writing (Adapted Screenplay),1.0,Screenplay by William Monahan
Writing (Original Screenplay),1.0,Written by Michael Arndt
Jean Hersholt Humanitarian Award,1.0,
Honorary Award,1.0,
Gordon E. Sawyer Award,1.0,
Award of Commendation,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,There Will Be Blood
Actor in a Supporting Role,1.0,No Country for Old Men
Actress in a Leading Role,1.0,La Vie en Rose
Actress in a Supporting Role,1.0,Michael Clayton
Animated Feature Film,1.0,Brad Bird
Art Direction,1.0,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
Cinematography,1.0,Robert Elswit
Costume Design,1.0,Alexandra Byrne
Directing,1.0,Joel Coen and Ethan Coen
Documentary (Feature),1.0,Alex Gibney and Eva Orner
Documentary (Short Subject),1.0,Cynthia Wade and Vanessa Roth
Film Editing,1.0,Christopher Rouse
Foreign Language Film,1.0,Austria
Makeup,1.0,Didier Lavergne and Jan Archibald
Music (Original Score),1.0,Dario Marianelli
Music (Original Song),1.0,Music and Lyric by Glen Hansard and Marketa Irglova
Best Picture,1.0,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
Short Film (Animated),1.0,Suzie Templeton and Hugh Welchman
Short Film (Live Action),1.0,Philippe Pollet-Villard
Sound Editing,1.0,Karen Baker Landers and Per Hallberg
Sound Mixing,1.0,"Scott Millan, David Parker and Kirk Francis"
Visual Effects,1.0,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood"
Writing (Adapted Screenplay),1.0,Written for the screen by Joel Coen & Ethan Coen
Writing (Original Screenplay),1.0,Written by Diablo Cody
Honorary Award,1.0,
Gordon E. Sawyer Award,1.0,
Award of Commendation,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,Milk
Actor in a Supporting Role,1.0,The Dark Knight
Actress in a Leading Role,1.0,The Reader
Actress in a Supporting Role,1.0,Vicky Cristina Barcelona
Animated Feature Film,1.0,Andrew Stanton
Art Direction,1.0,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo
Cinematography,1.0,Anthony Dod Mantle
Costume Design,1.0,Michael O'Connor
Directing,1.0,Danny Boyle
Documentary (Feature),1.0,James Marsh and Simon Chinn
Documentary (Short Subject),1.0,Megan Mylan
Film Editing,1.0,Chris Dickens
Foreign Language Film,1.0,Japan
Makeup,1.0,Greg Cannom
Music (Original Score),1.0,A.R. Rahman
Music (Original Song),1.0,Music by A.R. Rahman; Lyric by Gulzar
Best Picture,1.0,"Christian Colson, Producer"
Short Film (Animated),1.0,Kunio Kato
Short Film (Live Action),1.0,Jochen Alexander Freydank
Sound Editing,1.0,Richard King
Sound Mixing,1.0,"Ian Tapp, Richard Pryke and Resul Pookutty"
Visual Effects,1.0,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron"
Writing (Adapted Screenplay),1.0,Screenplay by Simon Beaufoy
Writing (Original Screenplay),1.0,Written by Dustin Lance Black
Jean Hersholt Humanitarian Award,1.0,
Gordon E. Sawyer Award,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,Crazy Heart
Actor in a Supporting Role,1.0,Inglourious Basterds
Actress in a Leading Role,1.0,The Blind Side
Actress in a Supporting Role,1.0,Precious: Based on the Novel 'Push' by Sapphire
Animated Feature Film,1.0,Pete Docter
Art Direction,1.0,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair
Cinematography,1.0,Mauro Fiore
Costume Design,1.0,Sandy Powell
Directing,1.0,Kathryn Bigelow
Documentary (Feature),1.0,Louie Psihoyos and Fisher Stevens
Documentary (Short Subject),1.0,Roger Ross Williams and Elinor Burkett
Film Editing,1.0,Bob Murawski and Chris Innis
Foreign Language Film,1.0,Argentina
Makeup,1.0,"Barney Burman, Mindy Hall and Joel Harlow"
Music (Original Score),1.0,Michael Giacchino
Music (Original Song),1.0,Music and Lyric by Ryan Bingham and T Bone Burnett
Best Picture,1.0,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
Short Film (Animated),1.0,Nicolas Schmerkin
Short Film (Live Action),1.0,Joachim Back and Tivi Magnusson
Sound Editing,1.0,Paul N.J. Ottosson
Sound Mixing,1.0,Paul N.J. Ottosson and Ray Beckett
Visual Effects,1.0,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones"
Writing (Adapted Screenplay),1.0,Screenplay by Geoffrey Fletcher
Writing (Original Screenplay),1.0,Written by Mark Boal
Honorary Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Irving G. Thalberg Memorial Award,1.0,
Actor in a Leading Role,1.0,The King's Speech
Actor in a Supporting Role,1.0,The Fighter
Actress in a Leading Role,1.0,Black Swan
Actress in a Supporting Role,1.0,The Fighter
Animated Feature Film,1.0,Lee Unkrich
Art Direction,1.0,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara
Cinematography,1.0,Wally Pfister
Costume Design,1.0,Colleen Atwood
Directing,1.0,Tom Hooper
Documentary (Feature),1.0,Charles Ferguson and Audrey Marrs
Documentary (Short Subject),1.0,Karen Goodman and Kirk Simon
Film Editing,1.0,Angus Wall and Kirk Baxter
Foreign Language Film,1.0,Denmark
Makeup,1.0,Rick Baker and Dave Elsey
Music (Original Score),1.0,Trent Reznor and Atticus Ross
Music (Original Song),1.0,Music and Lyric by Randy Newman
Best Picture,1.0,"Iain Canning, Emile Sherman and Gareth Unwin, Producers"
Short Film (Animated),1.0,Shaun Tan and Andrew Ruhemann
Short Film (Live Action),1.0,Luke Matheny
Sound Editing,1.0,Richard King
Sound Mixing,1.0,"Lora Hirschberg, Gary A. Rizzo and Ed Novick"
Visual Effects,1.0,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb"
Writing (Adapted Screenplay),1.0,Screenplay by Aaron Sorkin
Writing (Original Screenplay),1.0,Screenplay by David Seidler
Honorary Award,1.0,
