,Unnamed: 0,Movie,Release Date_x,Award_date,Release Year,Days Difference
0,0,Capote,2005-09-30,2006-03-05,2005.0,156 days 00:00:00.000000000
1,1,American Hustle,2013-12-12,2014-03-02,2013.0,80 days 00:00:00.000000000
2,2,Brokeback Mountain,2005-09-10,2006-03-05,2005.0,176 days 00:00:00.000000000
3,3,Walk the Line,2005-09-13,2006-03-05,2005.0,173 days 00:00:00.000000000
4,4,"Good Night, and Good Luck.",2005-09-16,2006-03-05,2005.0,170 days 00:00:00.000000000
5,5,Syriana,2005-11-23,2006-03-05,2005.0,102 days 00:00:00.000000000
6,6,Crash,2005-05-06,2006-03-05,2005.0,303 days 00:00:00.000000000
7,7,Cinderella Man,2005-06-02,2006-03-05,2005.0,276 days 00:00:00.000000000
8,8,A History of Violence,2005-09-23,2006-03-05,2005.0,163 days 00:00:00.000000000
9,9,Mrs Henderson Presents,2005-09-08,2006-03-05,2005.0,178 days 00:00:00.000000000
10,10,Transamerica,2005-12-23,2006-03-05,2005.0,72 days 00:00:00.000000000
11,11,Pride,2014-09-12,2015-02-22,2014.0,163 days 00:00:00.000000000
12,12,North Country,2005-02-12,2006-03-05,2005.0,386 days 00:00:00.000000000
13,13,Junebug,2005-08-03,2006-03-05,2005.0,214 days 00:00:00.000000000
14,14,The Constant Gardener,2005-08-31,2006-03-05,2005.0,186 days 00:00:00.000000000
15,17,Made in France,2015-10-27,2016-02-28,2015.0,124 days 00:00:00.000000000
16,18,A John Williams Celebration,2015-06-15,2016-02-28,2015.0,258 days 00:00:00.000000000
17,19,Blood Diamond,2006-12-07,2007-02-25,2006.0,80 days 00:00:00.000000000
18,20,Half Nelson,2006-08-11,2007-02-25,2006.0,198 days 00:00:00.000000000
19,21,Venus,2006-09-02,2007-02-25,2006.0,176 days 00:00:00.000000000
20,22,The Pursuit of Happyness,2006-12-14,2007-02-25,2006.0,73 days 00:00:00.000000000
21,23,The Last King of Scotland,2006-09-01,2007-02-25,2006.0,177 days 00:00:00.000000000
22,24,Little Miss Sunshine,2006-07-26,2007-02-25,2006.0,214 days 00:00:00.000000000
23,25,Little Children,2006-10-06,2007-02-25,2006.0,142 days 00:00:00.000000000
24,26,Dreamgirls,2006-12-25,2007-02-25,2006.0,62 days 00:00:00.000000000
25,27,The Departed,2006-10-05,2007-02-25,2006.0,143 days 00:00:00.000000000
26,28,Volver,2006-03-16,2007-02-25,2006.0,346 days 00:00:00.000000000
27,29,Notes on a Scandal,2006-12-25,2007-02-25,2006.0,62 days 00:00:00.000000000
28,30,The Queen,2006-09-15,2007-02-25,2006.0,163 days 00:00:00.000000000
29,31,The Devil Wears Prada,2006-06-30,2007-02-25,2006.0,240 days 00:00:00.000000000
30,32,Babel,2006-09-08,2007-02-25,2006.0,170 days 00:00:00.000000000
31,34,A Personal Journey with Martin Scorsese Through American Movies,1995-05-21,2005-02-27,1995.0,3570 days 00:00:00.000000000
32,36,Michael Clayton,2007-09-28,2008-02-24,2007.0,149 days 00:00:00.000000000
33,37,There Will Be Blood,2007-12-28,2008-02-24,2007.0,58 days 00:00:00.000000000
34,38,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-20,2008-02-24,2007.0,66 days 00:00:00.000000000
35,39,In the Valley of Elah,2007-08-31,2008-02-24,2007.0,177 days 00:00:00.000000000
36,40,Eastern Promises,2007-09-14,2008-02-24,2007.0,163 days 00:00:00.000000000
37,41,The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,2008-02-24,2007.0,175 days 00:00:00.000000000
38,42,No Country for Old Men,2007-11-08,2008-02-24,2007.0,108 days 00:00:00.000000000
39,43,Charlie Wilson's War,2007-12-19,2008-02-24,2007.0,67 days 00:00:00.000000000
40,44,Into the Wild,2007-09-11,2008-02-24,2007.0,166 days 00:00:00.000000000
41,45,Elizabeth: The Golden Age,2007-09-09,2008-02-24,2007.0,168 days 00:00:00.000000000
42,46,Away from Her,2006-09-11,2007-02-25,2006.0,167 days 00:00:00.000000000
43,47,The Savages,2007-01-19,2008-02-24,2007.0,401 days 00:00:00.000000000
44,48,Juno,2007-12-05,2008-02-24,2007.0,81 days 00:00:00.000000000
45,49,American Gangster,2007-11-02,2008-02-24,2007.0,114 days 00:00:00.000000000
46,50,Atonement,2007-08-29,2008-02-24,2007.0,179 days 00:00:00.000000000
47,51,Gone Baby Gone,2007-10-19,2008-02-24,2007.0,128 days 00:00:00.000000000
48,54,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,2007-02-25,2006.0,116 days 00:00:00.000000000
49,55,From Russia with Love,1963-10-11,2005-02-27,1963.0,15115 days 00:00:00.000000000
50,56,The Visitor,2007-09-07,2008-02-24,2007.0,170 days 00:00:00.000000000
51,57,Frost/Nixon,2008-10-15,2009-02-22,2008.0,130 days 00:00:00.000000000
52,58,Milk,2008-11-26,2009-02-22,2008.0,88 days 00:00:00.000000000
53,59,The Curious Case of Benjamin Button,2008-12-25,2009-02-22,2008.0,59 days 00:00:00.000000000
54,60,The Wrestler,2008-09-07,2009-02-22,2008.0,168 days 00:00:00.000000000
55,61,Tropic Thunder,2008-08-09,2009-02-22,2008.0,197 days 00:00:00.000000000
56,62,Doubt,2008-11-27,2009-02-22,2008.0,87 days 00:00:00.000000000
57,63,The Dark Knight,2008-07-16,2009-02-22,2008.0,221 days 00:00:00.000000000
58,64,Revolutionary Road,2008-12-19,2009-02-22,2008.0,65 days 00:00:00.000000000
59,65,Rachel Getting Married,2008-10-03,2009-02-22,2008.0,142 days 00:00:00.000000000
60,66,Changeling,2008-01-30,2009-02-22,2008.0,389 days 00:00:00.000000000
61,67,Frozen River,2008-08-01,2009-02-22,2008.0,205 days 00:00:00.000000000
62,68,The Reader,2008-12-10,2009-02-22,2008.0,74 days 00:00:00.000000000
63,69,Vicky Cristina Barcelona,2008-08-15,2009-02-22,2008.0,191 days 00:00:00.000000000
64,70,Last Days,2005-05-13,2006-03-05,2005.0,296 days 00:00:00.000000000
65,71,Sunshine,2007-04-05,2008-02-24,2007.0,325 days 00:00:00.000000000
66,72,A Christmas Carol,1938-12-16,2005-02-27,1938.0,24180 days 00:00:00.000000000
67,73,iCarly: iGo to Japan,2008-11-08,2009-02-22,2008.0,106 days 00:00:00.000000000
68,75,Crazy Heart,2009-12-16,2010-03-07,2009.0,81 days 00:00:00.000000000
69,76,Up in the Air,2009-09-05,2010-03-07,2009.0,183 days 00:00:00.000000000
70,77,A Single Man,2009-10-19,2010-03-07,2009.0,139 days 00:00:00.000000000
71,78,Invictus,2009-12-10,2010-03-07,2009.0,87 days 00:00:00.000000000
72,79,The Hurt Locker,2008-10-10,2009-02-22,2008.0,135 days 00:00:00.000000000
73,80,The Messenger,2009-11-13,2010-03-07,2009.0,114 days 00:00:00.000000000
74,81,The Last Station,2009-09-04,2010-03-07,2009.0,184 days 00:00:00.000000000
75,82,The Lovely Bones,2009-12-26,2010-03-07,2009.0,71 days 00:00:00.000000000
76,83,Inglourious Basterds,2009-08-18,2010-03-07,2009.0,201 days 00:00:00.000000000
77,84,The Blind Side,2009-11-20,2010-03-07,2009.0,107 days 00:00:00.000000000
78,85,An Education,2009-10-29,2010-03-07,2009.0,129 days 00:00:00.000000000
79,86,Precious,2009-11-06,2010-03-07,2009.0,121 days 00:00:00.000000000
80,87,Nine,2009-12-03,2010-03-07,2009.0,94 days 00:00:00.000000000
81,88,Titanic: The Final Word with James Cameron,2012-04-08,2013-02-24,2012.0,322 days 00:00:00.000000000
82,89,Quentin Tarantino: 20 Years of Filmmaking,2012-11-20,2013-02-24,2012.0,96 days 00:00:00.000000000
83,90,The Butler,2013-08-16,2014-03-02,2013.0,198 days 00:00:00.000000000
84,91,Imagining Argentina,2003-09-13,2005-02-27,2003.0,533 days 00:00:00.000000000
85,93,Biutiful,2010-10-20,2011-02-27,2010.0,130 days 00:00:00.000000000
86,94,True Grit,2010-12-22,2011-02-27,2010.0,67 days 00:00:00.000000000
87,95,The Social Network,2010-10-01,2011-02-27,2010.0,149 days 00:00:00.000000000
88,96,The King's Speech,2010-09-06,2011-02-27,2010.0,174 days 00:00:00.000000000
89,97,127 Hours,2010-11-05,2011-02-27,2010.0,114 days 00:00:00.000000000
90,98,The Fighter,2010-12-17,2011-02-27,2010.0,72 days 00:00:00.000000000
91,99,Winter's Bone,2010-06-11,2011-02-27,2010.0,261 days 00:00:00.000000000
92,100,The Town,2010-09-15,2011-02-27,2010.0,165 days 00:00:00.000000000
93,101,The Kids Are All Right,2010-07-09,2011-02-27,2010.0,233 days 00:00:00.000000000
94,102,Rabbit Hole,2010-12-16,2011-02-27,2010.0,73 days 00:00:00.000000000
95,103,Black Swan,2010-12-03,2011-02-27,2010.0,86 days 00:00:00.000000000
96,104,Blue Valentine,2010-12-27,2011-02-27,2010.0,62 days 00:00:00.000000000
97,105,Animal Kingdom,2010-06-03,2011-02-27,2010.0,269 days 00:00:00.000000000
98,106,A Better Life,2011-06-24,2012-02-26,2011.0,247 days 00:00:00.000000000
99,107,The Descendants,2011-09-09,2012-02-26,2011.0,170 days 00:00:00.000000000
100,108,The Artist,2011-06-26,2012-02-26,2011.0,245 days 00:00:00.000000000
101,109,Tinker Tailor Soldier Spy,2011-09-16,2012-02-26,2011.0,163 days 00:00:00.000000000
102,110,Moneyball,2011-09-22,2012-02-26,2011.0,157 days 00:00:00.000000000
103,111,My Week with Marilyn,2011-11-23,2012-02-26,2011.0,95 days 00:00:00.000000000
104,112,Warrior,2011-09-09,2012-02-26,2011.0,170 days 00:00:00.000000000
105,113,Beginners,2011-06-09,2012-02-26,2011.0,262 days 00:00:00.000000000
106,114,Extremely Loud & Incredibly Close,2011-12-24,2012-02-26,2011.0,64 days 00:00:00.000000000
107,115,Albert Nobbs,2011-12-21,2012-02-26,2011.0,67 days 00:00:00.000000000
108,116,The Help,2011-08-09,2012-02-26,2011.0,201 days 00:00:00.000000000
109,117,The Girl with the Dragon Tattoo,2011-12-14,2012-02-26,2011.0,74 days 00:00:00.000000000
110,118,The Iron Lady,2011-12-30,2012-02-26,2011.0,58 days 00:00:00.000000000
111,119,Bridesmaids,2011-05-13,2012-02-26,2011.0,289 days 00:00:00.000000000
112,120,La corrupción de Chris Miller,1973-05-17,2005-02-27,1973.0,11609 days 00:00:00.000000000
113,121,Rango,2011-03-02,2012-02-26,2011.0,361 days 00:00:00.000000000
114,122,Woody Allen: A Documentary,2011-11-20,2012-02-26,2011.0,98 days 00:00:00.000000000
115,123,The Living Daylights,1987-06-29,2005-02-27,1987.0,6453 days 00:00:00.000000000
116,124,Silver Linings Playbook,2012-09-08,2013-02-24,2012.0,169 days 00:00:00.000000000
117,125,Lincoln,2012-11-09,2013-02-24,2012.0,107 days 00:00:00.000000000
118,126,Les Misérables,2012-12-18,2013-02-24,2012.0,68 days 00:00:00.000000000
119,127,The Master,2012-09-07,2013-02-24,2012.0,170 days 00:00:00.000000000
120,128,Flight,2012-11-02,2013-02-24,2012.0,114 days 00:00:00.000000000
121,129,Argo,2012-10-11,2013-02-24,2012.0,136 days 00:00:00.000000000
122,130,Django Unchained,2012-12-25,2013-02-24,2012.0,61 days 00:00:00.000000000
123,131,Zero Dark Thirty,2012-12-19,2013-02-24,2012.0,67 days 00:00:00.000000000
124,132,Amour,2012-07-01,2013-02-24,2012.0,238 days 00:00:00.000000000
125,133,Beasts of the Southern Wild,2012-06-29,2013-02-24,2012.0,240 days 00:00:00.000000000
126,134,Lo imposible,2012-09-09,2013-02-24,2012.0,168 days 00:00:00.000000000
127,135,The Sessions,2012-05-02,2013-02-24,2012.0,298 days 00:00:00.000000000
128,136,Corpse Bride,2005-09-12,2006-03-05,2005.0,174 days 00:00:00.000000000
