,Movie,Release Date_x,Award_date,Release Year
0,Capote,2005-09-30,2006-03-05,2005.0
1,American Hustle,2013-12-12,2014-03-02,2013.0
2,Brokeback Mountain,2005-09-10,2006-03-05,2005.0
3,Walk the Line,2005-09-13,2006-03-05,2005.0
4,"Good Night, and Good Luck.",2005-09-16,2006-03-05,2005.0
5,Syriana,2005-11-23,2006-03-05,2005.0
6,Crash,2005-05-06,2006-03-05,2005.0
7,Cinderella Man,2005-06-02,2006-03-05,2005.0
8,A History of Violence,2005-09-23,2006-03-05,2005.0
9,Mrs Henderson Presents,2005-09-08,2006-03-05,2005.0
10,Transamerica,2005-12-23,2006-03-05,2005.0
11,Pride,2014-09-12,2015-02-22,2014.0
12,North Country,2005-02-12,2006-03-05,2005.0
13,Junebug,2005-08-03,2006-03-05,2005.0
14,The Constant Gardener,2005-08-31,2006-03-05,2005.0
17,Made in France,2015-10-27,2016-02-28,2015.0
18,A John Williams Celebration,2015-06-15,2016-02-28,2015.0
19,Blood Diamond,2006-12-07,2007-02-25,2006.0
20,Half Nelson,2006-08-11,2007-02-25,2006.0
21,Venus,2006-09-02,2007-02-25,2006.0
22,The Pursuit of Happyness,2006-12-14,2007-02-25,2006.0
23,The Last King of Scotland,2006-09-01,2007-02-25,2006.0
24,Little Miss Sunshine,2006-07-26,2007-02-25,2006.0
25,Little Children,2006-10-06,2007-02-25,2006.0
26,Dreamgirls,2006-12-25,2007-02-25,2006.0
27,The Departed,2006-10-05,2007-02-25,2006.0
28,Volver,2006-03-16,2007-02-25,2006.0
29,Notes on a Scandal,2006-12-25,2007-02-25,2006.0
30,The Queen,2006-09-15,2007-02-25,2006.0
31,The Devil Wears Prada,2006-06-30,2007-02-25,2006.0
32,Babel,2006-09-08,2007-02-25,2006.0
34,A Personal Journey with Martin Scorsese Through American Movies,1995-05-21,2005-02-27,1995.0
36,Michael Clayton,2007-09-28,2008-02-24,2007.0
37,There Will Be Blood,2007-12-28,2008-02-24,2007.0
38,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-20,2008-02-24,2007.0
39,In the Valley of Elah,2007-08-31,2008-02-24,2007.0
40,Eastern Promises,2007-09-14,2008-02-24,2007.0
41,The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,2008-02-24,2007.0
42,No Country for Old Men,2007-11-08,2008-02-24,2007.0
43,Charlie Wilson's War,2007-12-19,2008-02-24,2007.0
44,Into the Wild,2007-09-11,2008-02-24,2007.0
45,Elizabeth: The Golden Age,2007-09-09,2008-02-24,2007.0
46,Away from Her,2006-09-11,2007-02-25,2006.0
47,The Savages,2007-01-19,2008-02-24,2007.0
48,Juno,2007-12-05,2008-02-24,2007.0
49,American Gangster,2007-11-02,2008-02-24,2007.0
50,Atonement,2007-08-29,2008-02-24,2007.0
51,Gone Baby Gone,2007-10-19,2008-02-24,2007.0
54,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,2007-02-25,2006.0
55,From Russia with Love,1963-10-11,2005-02-27,1963.0
56,The Visitor,2007-09-07,2008-02-24,2007.0
57,Frost/Nixon,2008-10-15,2009-02-22,2008.0
58,Milk,2008-11-26,2009-02-22,2008.0
59,The Curious Case of Benjamin Button,2008-12-25,2009-02-22,2008.0
60,The Wrestler,2008-09-07,2009-02-22,2008.0
