,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,wins,nominations,Win or Nominated,Oscar Wins
0,Capote,2005-09-30,03 Feb 2006,7000000.0,49084830.0,28337516.0,Crime,R,114.0,88.0,7.4,"W1O, ++58,86",Sony Pictures Classics,58.0,86.0,W,1
1,American Hustle,2013-12-12,20 Dec 2013,40000000.0,251171807.0,99165609.0,Drama,R,138.0,90.0,7.3,"N10O, ++70,208",Sony Pictures,70.0,208.0,N,1
2,Brokeback Mountain,2005-09-10,13 Jan 2006,14000000.0,178043761.0,82970165.0,Drama,R,134.0,87.0,7.7,"W3O, ++138,128",Focus Features,138.0,128.0,W,3
3,Walk the Line,2005-09-13,18 Nov 2005,28000000.0,186438883.0,119317827.0,Drama,PG-13,136.0,72.0,7.9,"W1O, ++44,46",20th Century Fox,44.0,46.0,W,1
4,"Good Night, and Good Luck.",2005-09-16,04 Nov 2005,7000000.0,54600000.0,31500000.0,Drama,PG,93.0,80.0,7.5,"N6O, ++38,121",Warner Independent Pictures,38.0,121.0,N,6
5,Syriana,2005-11-23,09 Dec 2005,50000000.0,93974620.0,50800000.0,Drama,R,128.0,76.0,6.9,"W1O, ++13,28",Warner Bros. Pictures,13.0,28.0,W,1
6,Crash,2005-05-06,06 May 2005,6500000.0,98410061.0,55382847.0,Drama,R,112.0,69.0,7.8,"W3O, ++64,111",Lions Gate Films,64.0,111.0,W,3
7,Cinderella Man,2005-06-02,03 Jun 2005,88000000.0,108539911.0,61600000.0,Romance,PG-13,144.0,69.0,8.0,"N3O, ++16,41",Universal Pictures,16.0,41.0,N,3
8,A History of Violence,2005-09-23,30 Sep 2005,32000000.0,60740827.0,31500000.0,Drama,R,96.0,81.0,7.5,"N2O, ++37,78",New Line Cinema,37.0,78.0,N,2
9,Mrs Henderson Presents,2005-09-08,17 Feb 2006,0.0,0.0,10965943.0,Comedy,R,103.0,71.0,7.1,"N2O, ++6,31",Weinstein Company,6.0,31.0,N,2
10,Transamerica,2005-12-23,03 Mar 2006,1000000.0,13350369.0,8713873.0,Drama,R,103.0,66.0,7.4,"N2O, ++32,23",Weinstein Company,32.0,23.0,N,2
11,Pride,2014-09-12,12 Sep 2014,0.0,7523634.0,0.0,Drama,R,119.0,79.0,7.8,"N1GG, ++9,17",CBS Films,9.0,17.0,N,1
12,North Country,2005-02-12,21 Oct 2005,35000000.0,25224242.0,18324242.0,Drama,R,126.0,68.0,7.3,"N2O, ++6,17",Warner Bros. Pictures,6.0,17.0,N,2
13,Junebug,2005-08-03,16 Sep 2005,1000000.0,0.0,2416555.0,Comedy,R,106.0,80.0,7.0,"N1O, ++2++1,27",Sony Pictures Classics,21.0,27.0,N,1
14,The Constant Gardener,2005-08-31,31 Aug 2005,25000000.0,82466670.0,33565375.0,Drama,R,129.0,82.0,7.4,"W1O, ++35,68",Focus Features,35.0,68.0,W,1
15,Being George Clooney,2016-02-06,15 Oct 2016,0.0,0.0,0.0,Documentary,,88.0,,6.7,1,,,,,1
16,Little Italy,2018-08-24,21 Sep 2018,0.0,0.0,0.0,Comedy,,102.0,28.0,5.7,"0, 0, 0, 0,",Lionsgate,0.0,,,0
17,Made in France,2015-10-27,23 Sep 2016,0.0,0.0,0.0,Drama,R,89.0,,6.2,"0, 0, 0, 0,",,0.0,,,0
18,A John Williams Celebration,2015-06-15,30 Jun 2015,0.0,0.0,0.0,Music,NOT RATED,103.0,,8.5,"0, 0, 0, 0,",,0.0,,,0
19,Blood Diamond,2006-12-07,08 Dec 2006,100000000.0,170877916.0,57300000.0,Drama,R,143.0,64.0,8.0,"N5O, ++8,26",Warner Bros. Pictures,8.0,26.0,N,5
20,Half Nelson,2006-08-11,22 Sep 2006,700000.0,4911725.0,2591047.0,Drama,R,106.0,85.0,7.2,"N1O, ++29,47",ThinkFilm,29.0,47.0,N,1
21,Venus,2006-09-02,16 Feb 2007,0.0,0.0,3261449.0,Comedy,R,95.0,82.0,7.1,"N1O, ++4,20",Miramax Films,4.0,20.0,N,1
22,The Pursuit of Happyness,2006-12-14,15 Dec 2006,55000000.0,307077295.0,162586036.0,Drama,PG-13,117.0,64.0,8.0,"N1O, ++1++1,24",Sony Pictures,11.0,24.0,N,1
23,The Last King of Scotland,2006-09-01,19 Jan 2007,6000000.0,48027970.0,17449410.0,Drama,R,123.0,74.0,7.7,"W1O, ++47,31",Fox Searchlight,47.0,31.0,W,1
24,Little Miss Sunshine,2006-07-26,18 Aug 2006,8000000.0,100523181.0,59831476.0,Comedy,R,101.0,80.0,7.8,"W2O, ++68,107",Fox Searchlight,68.0,107.0,W,2
