,Unnamed: 0,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,noms,wins,nominations,oscar_wins
0,0,Capote,2005-09-30,03 Feb 2006,7000000.0,49084830.0,28337516.0,Crime,R,114.0,88.0,7.4,Won 1 Oscar. Another 58 wins & 86 nominations.,Sony Pictures Classics,Won 1 Oscar. Another 58 wins ,58.0,86.0,1.0
1,1,American Hustle,2013-12-12,20 Dec 2013,40000000.0,251171807.0,99165609.0,Drama,R,138.0,90.0,7.3,Nominated for 10 Oscars. Another 70 wins & 208 nominations.,Sony Pictures,Nominated for 10 Oscars. Another 70 wins ,70.0,208.0,0.0
2,2,Brokeback Mountain,2005-09-10,13 Jan 2006,14000000.0,178043761.0,82970165.0,Drama,R,134.0,87.0,7.7,Won 3 Oscars. Another 138 wins & 128 nominations.,Focus Features,Won 3 Oscars. Another 138 wins ,138.0,128.0,3.0
3,3,Walk the Line,2005-09-13,18 Nov 2005,28000000.0,186438883.0,119317827.0,Drama,PG-13,136.0,72.0,7.9,Won 1 Oscar. Another 44 wins & 46 nominations.,20th Century Fox,Won 1 Oscar. Another 44 wins ,44.0,46.0,1.0
4,4,"Good Night, and Good Luck.",2005-09-16,04 Nov 2005,7000000.0,54600000.0,31500000.0,Drama,PG,93.0,80.0,7.5,Nominated for 6 Oscars. Another 38 wins & 121 nominations.,Warner Independent Pictures,Nominated for 6 Oscars. Another 38 wins ,38.0,121.0,0.0
5,5,Syriana,2005-11-23,09 Dec 2005,50000000.0,93974620.0,50800000.0,Drama,R,128.0,76.0,6.9,Won 1 Oscar. Another 13 wins & 28 nominations.,Warner Bros. Pictures,Won 1 Oscar. Another 13 wins ,13.0,28.0,1.0
6,6,Crash,2005-05-06,06 May 2005,6500000.0,98410061.0,55382847.0,Drama,R,112.0,69.0,7.8,Won 3 Oscars. Another 64 wins & 111 nominations.,Lions Gate Films,Won 3 Oscars. Another 64 wins ,64.0,111.0,3.0
7,7,Cinderella Man,2005-06-02,03 Jun 2005,88000000.0,108539911.0,61600000.0,Romance,PG-13,144.0,69.0,8.0,Nominated for 3 Oscars. Another 16 wins & 41 nominations.,Universal Pictures,Nominated for 3 Oscars. Another 16 wins ,16.0,41.0,0.0
8,8,A History of Violence,2005-09-23,30 Sep 2005,32000000.0,60740827.0,31500000.0,Drama,R,96.0,81.0,7.5,Nominated for 2 Oscars. Another 37 wins & 78 nominations.,New Line Cinema,Nominated for 2 Oscars. Another 37 wins ,37.0,78.0,0.0
9,9,Mrs Henderson Presents,2005-09-08,17 Feb 2006,0.0,0.0,10965943.0,Comedy,R,103.0,71.0,7.1,Nominated for 2 Oscars. Another 6 wins & 31 nominations.,Weinstein Company,Nominated for 2 Oscars. Another 6 wins ,6.0,31.0,0.0
10,10,Transamerica,2005-12-23,03 Mar 2006,1000000.0,13350369.0,8713873.0,Drama,R,103.0,66.0,7.4,Nominated for 2 Oscars. Another 32 wins & 23 nominations.,Weinstein Company,Nominated for 2 Oscars. Another 32 wins ,32.0,23.0,
11,11,Pride,2014-09-12,12 Sep 2014,0.0,7523634.0,0.0,Drama,R,119.0,79.0,7.8,Nominated for 1 Golden Globe. Another 9 wins & 17 nominations.,CBS Films,Nominated for 1 Golden Globe. Another 9 wins ,9.0,17.0,
12,12,North Country,2005-02-12,21 Oct 2005,35000000.0,25224242.0,18324242.0,Drama,R,126.0,68.0,7.3,Nominated for 2 Oscars. Another 6 wins & 17 nominations.,Warner Bros. Pictures,Nominated for 2 Oscars. Another 6 wins ,6.0,17.0,
13,13,Junebug,2005-08-03,16 Sep 2005,1000000.0,0.0,2416555.0,Comedy,R,106.0,80.0,7.0,Nominated for 1 Oscar. Another 21 wins & 27 nominations.,Sony Pictures Classics,Nominated for 1 Oscar. Another 21 wins ,21.0,27.0,
14,14,The Constant Gardener,2005-08-31,31 Aug 2005,25000000.0,82466670.0,33565375.0,Drama,R,129.0,82.0,7.4,Won 1 Oscar. Another 35 wins & 68 nominations.,Focus Features,Won 1 Oscar. Another 35 wins ,35.0,68.0,
15,15,Being George Clooney,2016-02-06,15 Oct 2016,0.0,0.0,0.0,Documentary,,88.0,,6.7,1 nomination.,,1 nomination.,,,
16,16,Little Italy,2018-08-24,21 Sep 2018,0.0,0.0,0.0,Comedy,,102.0,28.0,5.7,,Lionsgate,,0.0,,
17,17,Made in France,2015-10-27,23 Sep 2016,0.0,0.0,0.0,Drama,R,89.0,,6.2,,,,0.0,,
18,18,A John Williams Celebration,2015-06-15,30 Jun 2015,0.0,0.0,0.0,Music,NOT RATED,103.0,,8.5,,,,0.0,,
19,19,Blood Diamond,2006-12-07,08 Dec 2006,100000000.0,170877916.0,57300000.0,Drama,R,143.0,64.0,8.0,Nominated for 5 Oscars. Another 8 wins & 26 nominations.,Warner Bros. Pictures,Nominated for 5 Oscars. Another 8 wins ,8.0,26.0,
20,20,Half Nelson,2006-08-11,22 Sep 2006,700000.0,4911725.0,2591047.0,Drama,R,106.0,85.0,7.2,Nominated for 1 Oscar. Another 29 wins & 47 nominations.,ThinkFilm,Nominated for 1 Oscar. Another 29 wins ,29.0,47.0,
21,21,Venus,2006-09-02,16 Feb 2007,0.0,0.0,3261449.0,Comedy,R,95.0,82.0,7.1,Nominated for 1 Oscar. Another 4 wins & 20 nominations.,Miramax Films,Nominated for 1 Oscar. Another 4 wins ,4.0,20.0,
22,22,The Pursuit of Happyness,2006-12-14,15 Dec 2006,55000000.0,307077295.0,162586036.0,Drama,PG-13,117.0,64.0,8.0,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,Sony Pictures,Nominated for 1 Oscar. Another 11 wins ,11.0,24.0,
23,23,The Last King of Scotland,2006-09-01,19 Jan 2007,6000000.0,48027970.0,17449410.0,Drama,R,123.0,74.0,7.7,Won 1 Oscar. Another 47 wins & 31 nominations.,Fox Searchlight,Won 1 Oscar. Another 47 wins ,47.0,31.0,
