,Movie,Rating,Release Date,Runtime,Metascore,IMDb Rating,Box Office,Awards,Production Company
0,Capote,R,03 Feb 2006,114 min,88,7.4,"$28,337,516",Won 1 Oscar. Another 58 wins & 86 nominations.,Sony Pictures Classics
1,American Hustle,R,20 Dec 2013,138 min,90,7.3,"$99,165,609",Nominated for 10 Oscars. Another 70 wins & 208 nominations.,Sony Pictures
2,Brokeback Mountain,R,13 Jan 2006,134 min,87,7.7,"$82,970,165",Won 3 Oscars. Another 138 wins & 128 nominations.,Focus Features
3,Walk the Line,PG-13,18 Nov 2005,136 min,72,7.9,"$119,317,827",Won 1 Oscar. Another 44 wins & 46 nominations.,20th Century Fox
4,"Good Night, and Good Luck.",PG,04 Nov 2005,93 min,80,7.5,"$31,500,000",Nominated for 6 Oscars. Another 38 wins & 121 nominations.,Warner Independent Pictures
5,Syriana,R,09 Dec 2005,128 min,76,6.9,"$50,800,000",Won 1 Oscar. Another 13 wins & 28 nominations.,Warner Bros. Pictures
6,Crash,R,06 May 2005,112 min,69,7.8,"$55,382,847",Won 3 Oscars. Another 64 wins & 111 nominations.,Lions Gate Films
7,Cinderella Man,PG-13,03 Jun 2005,144 min,69,8.0,"$61,600,000",Nominated for 3 Oscars. Another 16 wins & 41 nominations.,Universal Pictures
8,A History of Violence,R,30 Sep 2005,96 min,81,7.5,"$31,500,000",Nominated for 2 Oscars. Another 37 wins & 78 nominations.,New Line Cinema
9,Mrs Henderson Presents,R,17 Feb 2006,103 min,71,7.1,"$10,965,943",Nominated for 2 Oscars. Another 6 wins & 31 nominations.,Weinstein Company
10,Transamerica,R,03 Mar 2006,103 min,66,7.4,"$8,713,873",Nominated for 2 Oscars. Another 32 wins & 23 nominations.,Weinstein Company
11,Pride,R,12 Sep 2014,119 min,79,7.8,N/A,Nominated for 1 Golden Globe. Another 9 wins & 17 nominations.,CBS Films
12,North Country,R,21 Oct 2005,126 min,68,7.3,"$18,324,242",Nominated for 2 Oscars. Another 6 wins & 17 nominations.,Warner Bros. Pictures
13,Junebug,R,16 Sep 2005,106 min,80,7.0,"$2,416,555",Nominated for 1 Oscar. Another 21 wins & 27 nominations.,Sony Pictures Classics
14,The Constant Gardener,R,31 Aug 2005,129 min,82,7.4,"$33,565,375",Won 1 Oscar. Another 35 wins & 68 nominations.,Focus Features
15,Being George Clooney,N/A,15 Oct 2016,88 min,N/A,6.7,N/A,1 nomination.,N/A
16,Little Italy,N/A,21 Sep 2018,102 min,28,5.7,N/A,N/A,Lionsgate
17,Made in France,R,23 Sep 2016,89 min,N/A,6.2,N/A,N/A,N/A
18,Mumford,R,24 Sep 1999,112 min,62,6.9,N/A,1 win & 1 nomination.,Buena Vista Pictures
19,A John Williams Celebration,NOT RATED,30 Jun 2015,103 min,N/A,8.5,N/A,N/A,N/A
20,King Richard and the Crusaders,APPROVED,07 Aug 1954,114 min,N/A,5.7,N/A,N/A,Warner Home Video
21,Blood Diamond,R,08 Dec 2006,143 min,64,8.0,"$57,300,000",Nominated for 5 Oscars. Another 8 wins & 26 nominations.,Warner Bros. Pictures
