,Movie,Release Date,Budget,Revenue,Genres
0,Capote,2005-09-30,7000000,49084830,Crime
1,American Hustle,2013-12-12,40000000,251171807,Drama
2,Brokeback Mountain,2005-09-10,14000000,178043761,Drama
3,Walk the Line,2005-09-13,28000000,186438883,Drama
4,"Good Night, and Good Luck.",2005-09-16,7000000,54600000,Drama
5,Syriana,2005-11-23,50000000,93974620,Drama
6,Crash,2005-05-06,6500000,98410061,Drama
7,Cinderella Man,2005-06-02,88000000,108539911,Romance
8,A History of Violence,2005-09-23,32000000,60740827,Drama
9,Mrs Henderson Presents,2005-09-08,0,0,Comedy
10,Transamerica,2005-12-23,1000000,13350369,Drama
11,Pride,2014-09-12,0,7523634,Drama
12,North Country,2005-02-12,35000000,25224242,Drama
13,Junebug,2005-08-03,1000000,0,Comedy
14,The Constant Gardener,2005-08-31,25000000,82466670,Drama
15,宮崎駿とジブリ美術館,2005-01-01,0,0,Documentary
16,Lee Marvin and Angie Dickinson in Steve Reich's 'Clapping Music',2005-01-01,0,0,Music
17,Being George Clooney,2016-02-06,0,0,Documentary
18,"Абдулладжан, или Посвящается Стивену Спилбергу",1991-01-01,0,0,Comedy
19,Little Italy,2018-08-24,0,0,Comedy
20,Made in France,2015-10-27,0,0,Drama
21,Es war einmal in Deutschland,2017-04-06,0,0,Comedy
22,Mumford & Sons Live from South Africa: Dust & Thunder,2016-11-05,0,0,Music
23,A John Williams Celebration,2015-06-15,0,0,Music
24,King Richard And The Crusaders,1954-08-07,0,0,Adventure
25,Blood Diamond,2006-12-07,100000000,170877916,Drama
26,Half Nelson,2006-08-11,700000,4911725,Drama
27,Venus,2006-09-02,0,0,Comedy
28,The Pursuit of Happyness,2006-12-14,55000000,307077295,Drama
29,The Last King of Scotland,2006-09-01,6000000,48027970,Drama
30,Little Miss Sunshine,2006-07-26,8000000,100523181,Comedy
31,Little Children,2006-10-06,26000000,14821658,Romance
32,Dreamgirls,2006-12-25,70000000,154937680,Drama
33,The Departed,2006-10-05,90000000,289847354,Drama
34,Volver,2006-03-16,12899867,85582407,Comedy
35,Notes on a Scandal,2006-12-25,15000000,49469904,Drama
36,The Queen,2006-09-15,15000000,123384128,Drama
37,The Devil Wears Prada,2006-06-30,35000000,326551094,Comedy
38,Babel,2006-09-08,25000000,135330182,Drama
39,Close Encounters with Vilmos Zsigmond,2016-05-13,0,0,Documentary
40,A Personal Journey with Martin Scorsese Through American Movies,1995-05-21,0,0,Documentary
41,Danmark,2017-10-01,0,0,Drama
